unified_rank,player,team,position,sleeper_rank,sources_count,unified_score,sleeper_pts,sleeper_floor,sleeper_pp90
246,Aladji Bamba,NEW,MID,246,1,0.5829383886255924,127.49,117.67,8.2
247,Xaver Schlager,NFO,MID,247,1,0.5853080568720379,127.29,112.45,7.64
248,Conor Gallagher,TOT,MID,248,1,0.5876777251184834,126.73,112.41,7.13
249,Azor Matusiwa,IPS,MID,249,1,0.590047393364929,126.36,126.63,5.69
250,Noni Madueke,ARS,MID,250,1,0.5924170616113744,125.86,96.63,11.33
251,Ellis Simms,COV,FWD,251,1,0.5947867298578199,125.19,74.52,9.39
252,Ryan Christie,BOU,MID,252,1,0.5971563981042654,125.0,122.02,8.04
253,Keane Lewis-Potter,BRE,MID,253,1,0.5995260663507109,124.52,106.78,6.23
254,Ross Barkley,AVL,MID,254,1,0.6018957345971564,124.11,91.9,9.31
255,Daizen Maeda,IPS,FWD,255,1,0.6042654028436019,124.06,90.73,6.57
256,Ezri Konsa,AVL,DEF,256,1,0.6066350710900474,123.51,73.96,3.71
257,Ronald Araujo,LIV,DEF,257,1,0.6090047393364929,123.36,84.88,7.93
258,Jens Hjerto-Dahl,HUL,MID,258,1,0.6113744075829384,123.29,105.57,6.53
259,Danny Welbeck,CHE,FWD,259,1,0.6137440758293838,123.11,71.83,9.23
260,Merlin Rohl,EVE,MID,260,1,0.6161137440758294,122.88,109.23,6.14
261,Loum Tchaouna,COV,FWD,261,1,0.6184834123222749,122.62,102.51,5.81
262,Tyrique George,EVE,FWD,262,1,0.6208530805687204,122.1,101.27,10.99
263,Pedro Neto,CHE,FWD,263,1,0.6232227488151659,122.04,95.83,9.99
264,Elliot Stroud,HUL,MID,264,1,0.6255924170616114,121.33,108.09,6.82
265,Yoane Wissa,NEW,FWD,265,1,0.6279620853080569,119.25,92.03,6.31
266,Wesley Fofana,CHE,DEF,266,1,0.6303317535545023,117.24,104.09,5.86
267,Mason Mount,MUN,MID,267,1,0.6327014218009479,116.93,92.45,9.57
268,Jacob Greaves,IPS,DEF,268,1,0.6350710900473934,116.57,103.46,5.25
269,Matt Crooks,HUL,MID,269,1,0.6374407582938388,115.91,112.14,5.8
270,Hidemasa Morita,HUL,MID,270,1,0.6398104265402843,115.34,119.77,4.94
271,Sasa Lukic,IPS,MID,271,1,0.6421800947867299,114.96,119.39,5.75
272,Oscar Mingueza,CRY,DEF,272,1,0.6445497630331753,114.45,71.48,6.44
273,Hugo Ekitike,LIV,FWD,273,1,0.6469194312796208,114.41,57.48,12.87
274,Mikel Merino,ARS,MID,274,1,0.6492890995260664,114.27,70.42,10.28
275,Abdukodir Khusanov,MCI,DEF,275,1,0.6516587677725119,114.0,73.87,6.41
276,Alvaro Rodriguez,BOU,FWD,276,1,0.6540284360189573,113.88,81.46,10.25
277,Jorgen Strand Larsen,CRY,FWD,277,1,0.6563981042654028,111.74,74.57,7.18
278,Mateo Kovacic,MCI,MID,278,1,0.6587677725118484,111.68,94.0,7.18
279,Harry Maguire,MUN,DEF,279,1,0.6611374407582938,111.64,87.31,7.18
280,Dwight McNeil,CRY,MID,280,1,0.6635071090047393,111.59,81.74,8.37
281,Leny Yoro,MUN,DEF,281,1,0.6658767772511849,111.13,89.55,5.0
282,Michael Keane,EVE,DEF,282,1,0.6682464454976303,110.08,77.2,9.01
283,Jorrel Hato,CHE,DEF,283,1,0.6706161137440758,109.82,101.72,5.2
284,Marcelino Nunez,IPS,MID,284,1,0.6729857819905213,109.71,87.69,7.05
285,Curtis Jones,LIV,MID,285,1,0.6753554502369669,108.85,91.03,7.0
286,Bafode Diakite,BOU,DEF,286,1,0.6777251184834123,108.73,85.5,6.12
287,Carlos Baleba,BHA,MID,287,1,0.6800947867298578,108.01,114.6,5.4
288,Destiny Udogie,TOT,DEF,288,1,0.6824644549763034,107.89,74.51,4.86
289,Pep Chavarria,CHE,DEF,289,1,0.6848341232227488,106.58,78.11,5.99
290,Rayan Ait-Nouri,MCI,DEF,290,1,0.6872037914691943,106.21,70.64,9.56
291,Lucas Gourna-Douath,HUL,MID,291,1,0.6895734597156398,105.67,111.04,5.28
292,Florentino Luis,IPS,MID,292,1,0.6919431279620853,103.51,105.7,5.82
293,George Hirst,IPS,FWD,293,1,0.6943127962085308,103.4,62.32,6.65
294,Lewis Dunk,BHA,DEF,294,1,0.6966824644549763,102.08,80.45,5.1
295,Reinildo,SUN,DEF,295,1,0.6990521327014217,101.98,93.07,4.17
296,Frank Onyeka,COV,MID,296,1,0.7014218009478673,101.71,100.47,6.54
297,Andrey Santos,MUN,MID,297,1,0.7037914691943128,101.11,95.82,6.5
298,Brandon Thomas-Asante,COV,FWD,298,1,0.7061611374407583,100.98,62.87,9.09
299,Timothy Castagne,FUL,DEF,299,1,0.7085308056872038,99.73,77.87,6.41
300,Victor Torp,COV,MID,300,1,0.7109004739336493,99.63,79.55,8.97
301,Daniel Munoz,CRY,DEF,301,1,0.7132701421800948,99.08,68.94,8.92
302,Andrew Robertson,TOT,DEF,302,1,0.7156398104265402,97.42,66.12,6.26
303,Olivier Boscagli,BHA,DEF,303,1,0.7180094786729858,97.39,76.42,6.26
304,Regan Slater,HUL,MID,304,1,0.7203791469194313,96.57,99.88,4.83
305,Stefanos Tzimas,BHA,FWD,305,1,0.7227488151658767,95.67,57.73,12.3
306,Tyler Dibling,EVE,MID,306,1,0.7251184834123223,94.8,79.65,8.53
307,Charlie Hughes,HUL,DEF,307,1,0.7274881516587678,93.23,90.75,3.81
308,Jay Dasilva,COV,DEF,308,1,0.7298578199052133,91.53,73.94,4.12
309,Chris Rigg,SUN,MID,309,1,0.7322274881516587,91.34,74.54,6.85
310,Jefferson Lerma,CRY,MID,310,1,0.7345971563981043,91.28,97.32,5.87
311,John Egan,HUL,DEF,311,1,0.7369668246445498,91.08,83.26,4.1
312,Fabian Schar,NEW,DEF,312,1,0.7393364928909952,90.02,68.33,6.75
313,Brennan Johnson,EVE,FWD,313,1,0.7417061611374408,89.57,65.83,8.06
314,Amine Adli,BOU,FWD,314,1,0.7440758293838863,89.46,70.71,10.06
315,Lukas Nmecha,LEE,FWD,315,1,0.7464454976303317,85.65,53.2,9.64
