rank,player,team,position,pos_rank,pts,floor,pp90
397,Amadou Onana,AVL,MID,162,32.4,28.86,7.29
398,Malo Gusto,CHE,DEF,137,32.13,21.93,7.23
399,Tom Cairney,FUL,MID,163,31.84,28.63,7.16
400,Matthijs De Ligt,MUN,DEF,138,31.68,24.06,7.13
401,Adam Aznou,EVE,DEF,139,30.99,21.81,6.97
402,Daniel James,LEE,MID,164,30.99,29.1,6.97
403,Carlos Alcaraz,EVE,MID,165,30.22,25.0,9.07
404,Wataru Endo,LIV,MID,166,29.46,26.69,6.63
405,Josh Acheampong,CHE,DEF,140,28.51,20.47,4.28
406,Luca Netz,NFO,DEF,141,26.98,19.34,6.07
407,Borna Sosa,CRY,DEF,142,26.79,27.4,6.03
408,Harrison Armstrong,EVE,MID,167,26.79,24.9,6.03
409,Wilfried Gnonto,LEE,FWD,80,26.36,27.86,5.93
410,Luke Woolfenden,COV,DEF,143,24.75,21.78,5.57
411,Cheick Doucoure,CRY,MID,168,24.74,26.4,5.57
412,Anis Mehmeti,IPS,MID,169,24.01,20.31,5.4
413,Victor Lindelof,AVL,DEF,144,23.94,11.73,3.59
414,Cody Drameh,HUL,DEF,145,23.44,20.56,3.52
415,Jake Bidwell,COV,DEF,146,22.12,16.97,4.98
416,Jack Taylor,IPS,MID,170,21.91,22.51,4.93
417,Sebastiaan Bornauw,LEE,DEF,147,21.78,19.39,4.9
418,Rico Henry,BRE,DEF,148,21.6,13.64,4.86
419,Morato,NFO,DEF,149,20.13,16.54,4.53
420,Joel Latibeaudiere,COV,DEF,150,19.82,16.53,4.46
421,Ben Johnson,IPS,DEF,151,17.8,13.64,4.0
422,Lucas Herrington,HUL,DEF,152,12.03,12.11,2.71
